Human Target,GO Category,Drug(s),M. musculus,Similarity (%),G. gallus,Similarity (%),X. tropicalis,Similarity (%),X. laevis,Similarity (%),G. aculeatus,Similarity (%),D. rerio,Similarity (%),D. melanogaster,Similarity (%),D. pulex,Similarity (%),C. elegans,Similarity (%),A. thaliana,Similarity (%),C. reinhardtii,Similarity (%),D. discoideum,Similarity (%),S. cerevisiae,Similarity (%),T. thermophila,Similarity (%),E. coli,Similarity (%),S. elongatus,Similarity (%)
O00555|CAC1A_HUMAN Voltage-dependent P/Q-type calcium channel subunit alpha-1A - Homo sapiens,Ion Channel,"Pregabalin(DB00230), Nisoldipine(DB00401), Cinnarizine(DB00568), Loperamide(DB00836), Bepridil(DB01244)","ENSMUSP00000039351|Voltage-dependent P/Q-type calcium channel subunit alpha-1A (Voltage- gated calcium channel subunit alpha Cav2.1) (Calcium channel, L type, alpha-1 polypeptide isoform 4) (Brain calcium channel I) (BI). [Source:Uniprot/SWISSPROT;Acc:P97445]",85.96,ENSGALP00000039304|Voltage-dependent N-type calcium channel subunit alpha-1B (Voltage- gated calcium channel subunit alpha Cav2.2) (CHCACHA1B) (Fragment). [Source:Uniprot/SWISSPROT;Acc:O73706],58.93,"ENSXETP00000027314|Voltage-dependent R-type calcium channel subunit alpha-1E (Voltage- gated calcium channel subunit alpha Cav2.3) (Calcium channel, L type, alpha-1 polypeptide, isoform 6) (Brain calcium channel II) (BII). [Source:Uniprot/SWISSPROT;Acc:Q15878]",46.47,gi|9454411|gb|AAF87795| 'voltage-dependent calcium ion channel alpha subunit [Xenopus laevis]',2.83,"ENSGACP00000016841|Voltage-dependent P/Q-type calcium channel subunit alpha-1A (Voltage- gated calcium channel subunit alpha Cav2.1) (Calcium channel, L type, alpha-1 polypeptide isoform 4) (Brain calcium channel I) (BI). [Source:Uniprot/SWISSPROT;Acc:O00555]",57.44,"ENSDARP00000023232|Novel protein similar to vertebrate voltage-dependent calcium channel, P/Q type, alpha 1A subunit (CACNA1A) (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q5RHB2]",59.9,"FBpp0099700 type=protein; loc=X:complement(11830078..11830228,11830294..11830538,11830725..11830876,11832954..11833154,11833728..11833891,11833954..11834075,11842661..11842869,11843085..11843287,11843909..11844190,11846162..11846256,11848132..11848314,11856053..11856136,11856263..11856373,11856484..11856648,11858091..11858292,11858659..11858802,11862684..11863247,11864364..11864699,11865492..11866005,11866079..11866276,11867290..11867394,11867458..11867517,11868257..11868372,11870436..11870539,11870637..11870857,11870922..11871077,11873088..11873188,11873658..11873797,11873872..11874090); ID=FBpp0099700; name=cac-PD; parent=FBgn0005563,FBtr0073587; dbxref=FlyBase_Annotation_IDs:CG1522-PD,FlyBase:FBpp0099700,GB_protein:AAS65324.1,GB_protein:AAS65324; MD5=eb494d6f95aade0894637b0b05d6324f; length=1848; release=r5.6; species=Dmel;",39.18,jgi|Dappu1|333049|NCBI_GNO_21800016,36.85,T02C5.5a CE29459 WBGene00006742 locus:unc-2 status:Partially_confirmed TR:Q22098 protein_id:AAB36868.3,34.56,"AT4G03560.1 | Symbols: TPC1, ATCCH1, FOU2, ATTPC1 | ATTPC1 (TWO-PORE CHANNEL 1); calcium channel/ voltage-gated calcium channel | chr4:1580251-1585689 FORWARD",6.88,jgi|Chlre3|194451,17.55,DDB0233089 |Protein| gene: geneDDB0233089 on chromosome: 5 position 2361958 to 2368217,9.76,YGR217W|Ca(2+) channel protein (predicted),11.21,40.m00187 TTHERM_00378480 cation channel family protein,13.71,b1244 oligopeptide transport permease protein (oppB) {Escherichia coli K12-MG1655},2.67,syc0428_d serine/threonine kinase {Synechococcus elongatus PCC 6301},5.15
O00763|ACACB_HUMAN Acetyl-CoA carboxylase 2 - Homo sapiens,Enzyme,Biotin(DB00121),ENSMUSP00000031583|acetyl-Coenzyme A carboxylase beta [Source:RefSeq_peptide;Acc:NP_598665],88.45,ENSGALP00000021884|Acetyl-CoA carboxylase beta (EC 6.4.1.2) (EC 6.3.4.14) (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q5MB12],72.13,ENSXETP00000019624|Acetyl-CoA carboxylase 2 (EC 6.4.1.2) (ACC-beta) [Includes: Biotin carboxylase (EC 6.3.4.14)]. [Source:Uniprot/SWISSPROT;Acc:O00763],75.03,gi|49256076|gb|AAH74151| 'MGC81895 protein [Xenopus laevis]',8.04,ENSGACP00000012212|Acetyl-CoA carboxylase 2 (EC 6.4.1.2) (ACC-beta) [Includes: Biotin carboxylase (EC 6.3.4.14)]. [Source:Uniprot/SWISSPROT;Acc:O00763],71.61,ENSDARP00000083511|Novel protein similar to vertebrate acetyl-Coenzyme A carboxylase beta (ACACB) (Fragment). [Source:Uniprot/SPTREMBL;Acc:A2BGP4],71.54,"FBpp0111967 type=protein; loc=2R:complement(3861992..3862126,3862195..3862329,3862391..3862738,3862809..3863678,3863800..3864228,3864291..3864461,3864527..3864829,3864894..3868627,3868689..3868977,3870146..3870512,3870981..3871247,3872386..3872507,3872571..3872956,3873107..3873266); ID=FBpp0111967; name=CG11198-PD; parent=FBgn0033246,FBtr0113054; dbxref=GB_protein:ABV53727,FlyBase:FBpp0111967,FlyBase_Annotation_IDs:CG11198-PD; MD5=166b4acac4b1174809aff2a3fb06ec52; length=2571; release=r5.6; species=Dmel;",54.85,jgi|Dappu1|222043|estExt_fgenesh1_pg.C_70348,58.62,W09B6.1a CE14734 WBGene00004076 locus:pod-2 acetyl-CoA carboxylase status:Partially_confirmed TR:Q9GZI3 protein_id:AAG00029.1,28.14,"AT1G36160.1 | Symbols: AT-ACC1, EMB22, GK, PAS3, ACC1 | ACC1 (ACETYL-COENZYME A CARBOXYLASE 1); acetyl-CoA carboxylase | chr1:13535408-13544985 FORWARD",34.1,jgi|Chlre3|122441,5.81,DDB0230067 |Protein| gene: accA on chromosome: 5 position 1474122 to 1480970,37.35,YNR016C|acetyl-CoA carboxylase,40.26,"3716.m00093 TTHERM_00502240 Carbamoyl-phosphate synthase L chain, ATP binding domain containing protein",7.1,"b3256 acetyl CoA carboxylase, biotin carboxylase subunit (accC) [6.3.4.14] {Escherichia coli K12-MG1655}",6.09,syc0177_c biotin carboxylase (accC) {Synechococcus elongatus PCC 6301},6.34
O00764|PDXK_HUMAN Pyridoxal kinase - Homo sapiens,Enzyme,"Pyridoxal(DB00147), Pyridoxine(DB00165)",ENSMUSP00000038540|Pyridoxal kinase (EC 2.7.1.35) (Pyridoxine kinase). [Source:Uniprot/SWISSPROT;Acc:Q8K183],86.22,ENSGALP00000026076|Pyridoxal kinase (EC 2.7.1.35) (Pyridoxine kinase). [Source:Uniprot/SWISSPROT;Acc:O00764],37.99,ENSXETP00000038737|Pyridoxal kinase (EC 2.7.1.35) (Pyridoxine kinase). [Source:Uniprot/SWISSPROT;Acc:O00764],50.64,gi|147901683|ref|NP_001086538| 'MGC83213 protein [Xenopus laevis]',11.41,ENSGACP00000009326|Pyridoxal kinase (EC 2.7.1.35) (Pyridoxine kinase). [Source:Uniprot/SWISSPROT;Acc:O00764],68.27,ENSDARP00000046982|hypothetical protein LOC492499 [Source:RefSeq_peptide;Acc:NP_001007372],72.12,"FBpp0111673 type=protein; loc=3L:join(9353770..9353871,9353943..9354042,9354109..9354821); ID=FBpp0111673; name=CG34455-PC; parent=FBgn0085484,FBtr0112761; dbxref=GB_protein:AAS65053.1,GB_protein:AAS65053,FlyBase:FBpp0111673,FlyBase:FBpp0076171,FlyBase_Annotation_IDs:CG34455-PC,FlyBase_Annotation_IDs:CG4446-PB; MD5=4296103d49fb8d2fdbe3a3976ba32722; length=304; release=r5.6; species=Dmel;",43.77,jgi|Dappu1|198770|estExt_Genewise1Plus.C_440028,48.4,F57C9.1b CE28472 WBGene00019008 status:Partially_confirmed TR:Q95R04 protein_id:AAK73885.1,40.06,AT5G37850.1 | Symbols: SOS4 | SOS4 (SALT OVERLY SENSITIVE 4); kinase/ pyridoxal kinase | chr5:15082624-15086013 FORWARD,46.15,jgi|Chlre3|205603,40.89,DDB0191114 |Protein| gene: pykA on chromosome: 1 position 2219371 to 2220365,41.53,YEL029C|pyridoxal kinase,33.23,3699.m00022 TTHERM_00125290 hypothetical protein,9.71,b1636 pyridoxal kinase 2 / pyridoxine kinase (pdxY) {Escherichia coli K12-MG1655},27.16,syc1726_c phosphomethylpyrimidine kinase (thiD) {Synechococcus elongatus PCC 6301},15.38
"O14521|DHSD_HUMAN Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial precursor - Homo sapiens",Enzyme,Succinic acid(DB00139),"ENSMUSP00000000175|Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial precursor (CybS) (Succinate-ubiquinone reductase membrane anchor subunit) (QPs3) (CII-4) (Succinate dehydrogenase complex subunit D) (Succinate-ubiquinone oxidoreductase cytoch [Source:Uniprot/SWISSPROT;Acc:Q9CXV1]",82.39,"ENSGALP00000012780|succinate dehydrogenase complex, subunit D, integral membrane protein [Source:RefSeq_peptide;Acc:NP_001006321]",57.86,ENSXETP00000057629|Hypothetical protein MGC75661. [Source:Uniprot/SPTREMBL;Acc:Q6P355],63.52,gi|50604131|gb|AAH77199| 'LOC496372 protein [Xenopus laevis]',62.26,No Hit,0,"ENSDARP00000039864|succinate dehydrogenase complex, subunit D, integral membrane protein [Source:RefSeq_peptide;Acc:NP_001004004]",55.9,"FBpp0083857 type=protein; loc=3R:complement(19585444..19585645,19585707..19585894,19585967..19586082,19586174..19586216); ID=FBpp0083857; name=CG10219-PA; parent=FBgn0039112,FBtr0084466; dbxref=FlyBase:FBpp0083857,FlyBase_Annotation_IDs:CG10219-PA,GB_protein:AAF56180.1,GB_protein:AAF56180; MD5=aa282d207b27e082bdd78b8f82dbac18; length=182; release=r5.6; species=Dmel;",28.49,jgi|Dappu1|306337|PASA_GEN_4900031,34.66,F33A8.5 CE17757 WBGene00009353 locus:sdhd-1 status:Confirmed SW:O62215 protein_id:CAB04259.1,29.45,AT2G47010.2 | Symbols:  | similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G17030.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN67131.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO40236.1) | chr2:19324574-19326108 FORWARD,14.9,jgi|Chlre3|30209,12.4,No Hit,0,No Hit,0,No Hit,0,b1266 putative enzymes (yciV) {Escherichia coli K12-MG1655},14.83,syc0983_c transketolase (tktA) {Synechococcus elongatus PCC 6301},14.16
"O14556|G3PT_HUMAN Glyceraldehyde-3-phosphate dehydrogenase, testis-specific - Homo sapiens",Enzyme,NADH(DB00157),"ENSMUSP00000075954|Glyceraldehyde-3-phosphate dehydrogenase, testis-specific (EC 1.2.1.12) (Spermatogenic glyceraldehyde-3-phosphate dehydrogenase) (Spermatogenic cell-specific glyceraldehyde 3-phosphate dehydrogenase 2) (GAPDH-2). [Source:Uniprot/SWISSPROT;Acc:Q64467]",75,ENSGALP00000023278|Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12) (GAPDH). [Source:Uniprot/SWISSPROT;Acc:P00356],56.48,ENSXETP00000055696|MGC89215 protein. [Source:Uniprot/SPTREMBL;Acc:Q6DIU7],57.46,gi|27882192|gb|AAH43972| 'Gapd-prov protein [Xenopus laevis]',57.7,"ENSGACP00000007841|Glyceraldehyde-3-phosphate dehydrogenase, testis-specific (EC 1.2.1.12) (Spermatogenic glyceraldehyde-3-phosphate dehydrogenase) (Spermatogenic cell-specific glyceraldehyde 3-phosphate dehydrogenase 2) (GAPDH-2). [Source:Uniprot/SWISSPROT;Acc:O14556]",60.54,ENSDARP00000058383|glyceraldehyde 3-phosphate dehydrogenase [Source:RefSeq_peptide;Acc:NP_998259],63.73,"FBpp0073923 type=protein; loc=X:15762369..15763367; ID=FBpp0073923; name=Gapdh2-PB; parent=FBgn0001092,FBtr0074113; dbxref=FlyBase:FBpp0073923,FlyBase_Annotation_IDs:CG8893-PB,GB_protein:AAN09371.1,GB_protein:AAN09371; MD5=77b41327d5747c180ed8cfa6963ebaf8; length=332; release=r5.6; species=Dmel;",56.62,jgi|Dappu1|302823|PASA_GEN_1900067,59.56,K10B3.7 CE07370 WBGene00001685 locus:gpd-3 status:Confirmed SW:P17330 protein_id:AAB53869.1,55.56,AT1G16300.1 | Symbols: GAPCP-2 | GAPCP-2; glyceraldehyde-3-phosphate dehydrogenase | chr1:5574427-5577400 FORWARD,53.94,jgi|Chlre3|140618,49.14,DDB0185087 |Protein| gene: gpdA on chromosome: 2 position 5311196 to 5312379,54.15,YJL052W|glyceraldehyde-3-phosphate dehydrogenase 1,52.81,"72.m00143 TTHERM_00551160 glyceraldehyde-3-phosphate dehydrogenase, type I family protein",46.51,b1779 glyceraldehyde-3-phosphate dehydrogenase A (gapA) [1.2.1.12] {Escherichia coli K12-MG1655},49.88,syc1268_d glyceraldehyde 3-phosphate dehydrogenase (gap1) {Synechococcus elongatus PCC 6301},44.79
"O14561|ACPM_HUMAN Acyl carrier protein, mitochondrial precursor - Homo sapiens",Enzyme;Transporter,NADH(DB00157),"ENSMUSP00000102079|Acyl carrier protein, mitochondrial precursor (ACP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit) (CI-SDAP). [Source:Uniprot/SWISSPROT;Acc:Q9CR21]",85.9,"ENSGALP00000009787|Acyl carrier protein, mitochondrial precursor (ACP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit) (CI-SDAP). [Source:Uniprot/SWISSPROT;Acc:O14561]",62.82,ENSXETP00000052831|MGC89694 protein. [Source:Uniprot/SPTREMBL;Acc:Q6AZL3],66.03,gi|77748315|gb|AAI06595| 'MGC131368 protein [Xenopus laevis]',64.74,"ENSGACP00000018909|Acyl carrier protein, mitochondrial precursor (ACP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit) (CI-SDAP). [Source:Uniprot/SWISSPROT;Acc:O14561]",60.26,ENSDARP00000012558|Ndufab1 protein (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q6PBK6],59.62,"FBpp0072569 type=protein; loc=3L:join(1330141..1330290,1331042..1331170,1331280..1331459); ID=FBpp0072569; name=mtacp1-PA; parent=FBgn0011361,FBtr0072676; dbxref=FlyBase:FBpp0072569,FlyBase_Annotation_IDs:CG9160-PA,GB_protein:AAF47480.1,GB_protein:AAF47480; MD5=7f1f1b8a1088345a2854dca5621ce88a; length=152; release=r5.6; species=Dmel;",50,jgi|Dappu1|101991|fgenesh1_pg.C_scaffold_19000185,9.41,Y56A3A.19 CE22587 WBGene00013237 acyl-carrier protein status:Confirmed TR:Q9U241 protein_id:CAB60498.1,42.31,AT1G65290.1 | Symbols: MTACP2 | MTACP2 (MITOCHONDRIAL ACYL CARRIER PROTEIN 2); acyl carrier | chr1:24252751-24254029 REVERSE,29.49,jgi|Chlre3|132151,29.49,DDB0238774 |Protein| gene: ndufab1 on chromosome: 6 position 849824 to 850186,21.79,YKL192C|acyl carrier protein,28.12,"3696.m00958 TTHERM_00304359 Acyl carrier protein, putative",24.54,b1094 acyl carrier protein (acpP) {Escherichia coli K12-MG1655},19.87,syc0985_c hypothetical protein {Synechococcus elongatus PCC 6301},19.87
O14646|CHD1_HUMAN Chromodomain-helicase-DNA-binding protein 1 - Homo sapiens,Enzyme,Epirubicin(DB00445),ENSMUSP00000024627|Chromodomain-helicase-DNA-binding protein 1 (EC 3.6.1.-) (ATP- dependent helicase CHD1) (CHD-1). [Source:Uniprot/SWISSPROT;Acc:P40201],95.45,ENSGALP00000024615|chromodomain helicase DNA binding protein 1 [Source:RefSeq_peptide;Acc:NP_990272],85.45,ENSXETP00000052094|Chromodomain-helicase-DNA-binding protein 2 (EC 3.6.1.-) (ATP- dependent helicase CHD2) (CHD-2). [Source:Uniprot/SWISSPROT;Acc:O14647],54.1,gi|62740093|gb|AAH94093| 'LOC733207 protein [Xenopus laevis]',67.52,ENSGACP00000024649,71.56,ENSDARP00000050744,76.63,"FBpp0077358 type=protein; loc=2L:complement(2980176..2980377,2980470..2980574,2980636..2985177,2985240..2985413,2985476..2985585,2985641..2986150,2987512..2987520); ID=FBpp0077358; name=Chd1-PA; parent=FBgn0250786,FBtr0077674; dbxref=FlyBase:FBpp0077358,FlyBase_Annotation_IDs:CG3733-PA,GB_protein:AAF51170.1,GB_protein:AAF51170; MD5=a97f11ef143d047bb32915e929570470; length=1883; release=r5.6; species=Dmel;",42.25,jgi|Dappu1|227473|estExt_fgenesh1_pg.C_760100,44.78,H06O01.2 CE32454 WBGene00010369 chromodomain-helicase-DNA-biniding protein status:Partially_confirmed TR:O17909 protein_id:CAB07481.2,37.7,AT2G13370.1 | Symbols: CHR5 | CHR5 (chromatin remodeling 5); ATP binding / DNA binding / chromatin binding / helicase | chr2:5551683-5562625 REVERSE,29.59,jgi|Chlre3|188131,24.52,DDB0220640 |Protein| gene: geneDDB0220640 on chromosome: 4 position 1645755 to 1651739,31.78,YER164W|chromodomain-helicase-DNA-binding (CHD) family,27.11,"16.m00319 TTHERM_00193800 Type III restriction enzyme, res subunit family protein",17.7,b0059 probable ATP-dependent RNA helicase (hepA) {Escherichia coli K12-MG1655},8.72,syc0666_d putative SNF2 helicase {Synechococcus elongatus PCC 6301},11.34
O14727|APAF_HUMAN Apoptotic protease-activating factor 1 - Homo sapiens,Other,Adenosine triphosphate(DB00171),ENSMUSP00000020157|Apoptotic protease-activating factor 1 (Apaf-1). [Source:Uniprot/SWISSPROT;Acc:O88879],87.19,ENSGALP00000037437|Apoptotic protease-activating factor 1 (Apaf-1). [Source:Uniprot/SWISSPROT;Acc:O14727],69.51,ENSXETP00000014654|Apoptotic protease-activating factor 1 (Apaf-1). [Source:Uniprot/SWISSPROT;Acc:O14727],61.1,gi|49115497|gb|AAH73405| 'MGC80868 protein [Xenopus laevis]',60.38,ENSGACP00000026214|Apoptotic protease-activating factor 1 (Apaf-1). [Source:Uniprot/SWISSPROT;Acc:O14727],51.11,ENSDARP00000008347|Apoptotic protease-activating factor 1 (Apaf-1). [Source:Uniprot/SWISSPROT;Acc:Q9I9H8],55.32,"FBpp0070422 type=protein; loc=X:join(2480312..2480582,2480794..2481419,2481474..2481662); ID=FBpp0070422; name=wds-PA; parent=FBgn0040066,FBtr0070438; dbxref=FlyBase:FBpp0070422,FlyBase_Annotation_IDs:CG17437-PA,GB_protein:AAF45791.1,GB_protein:AAF45791; MD5=bba31ef4ee3304320e64e714e0c768c5; length=361; release=r5.6; species=Dmel;",7.99,jgi|Dappu1|226784|estExt_fgenesh1_pg.C_620015,23.36,"Y45F10B.10 CE36361 WBGene00004265 locus:qui-1 WD domain, G-beta repeat (4 domains) status:Partially_confirmed TR:O62471 protein_id:CAA16357.2",13.35,AT3G49660.1 | Symbols:  | transducin family protein / WD-40 repeat family protein | chr3:18424675-18426208 FORWARD,7.1,jgi|Chlre3|114898,7.69,DDB0237515 |Protein| gene: geneDDB0237515 on chromosome: 6 position 2426564 to 2433958,13.67,YCR072C|ribosome biogenesis protein Rsa4,9.25,504.m00006 TTHERM_01609750 conserved hypothetical protein,14.83,"b3689 orf, hypothetical protein (yidR) {Escherichia coli K12-MG1655}",6.25,syc1301_c adenosylcobyric acid synthase (cobQ) {Synechococcus elongatus PCC 6301},6.33
O14732|IMPA2_HUMAN Inositol monophosphatase 2 - Homo sapiens,Enzyme,Lithium(DB01356),ENSMUSP00000025403|Inositol monophosphatase 2 (EC 3.1.3.25) (IMPase 2) (IMP 2) (Inositol- 1(or 4)-monophosphatase 2) (Myo-inositol monophosphatase A2). [Source:Uniprot/SWISSPROT;Acc:Q91UZ5],89.24,ENSGALP00000022380|Inositol monophosphatase 2 (EC 3.1.3.25) (IMPase 2) (IMP 2) (Inositol- 1(or 4)-monophosphatase 2) (Myo-inositol monophosphatase A2). [Source:Uniprot/SWISSPROT;Acc:O14732],82.64,ENSXETP00000042632|Inositol monophosphatase 2 (EC 3.1.3.25) (IMPase 2) (IMP 2) (Inositol- 1(or 4)-monophosphatase 2) (Myo-inositol monophosphatase A2). [Source:Uniprot/SWISSPROT;Acc:O14732],75.35,gi|163916511|gb|AAI57456| 'Unknown (protein for MGC:179967) [Xenopus laevis]',74.65,ENSGACP00000006493|Inositol monophosphatase (EC 3.1.3.25) (IMPase) (IMP) (Inositol-1(or 4)-monophosphatase) (Lithium-sensitive myo-inositol monophosphatase A1). [Source:Uniprot/SWISSPROT;Acc:P29218],49.65,ENSDARP00000076958|hypothetical protein LOC553595 [Source:RefSeq_peptide;Acc:NP_001018408],65.62,"FBpp0078071 type=protein; loc=3L:complement(21259941..21260205,21260267..21260635,21260687..21260820,21260891..21260959); ID=FBpp0078071; name=CG9391-PA; parent=FBgn0037063,FBtr0078417; dbxref=FlyBase:FBpp0078071,FlyBase_Annotation_IDs:CG9391-PA; MD5=11a0eb77a3749cc3c2a8ff0fc34a7267; length=278; release=r5.6; species=Dmel;",42.21,jgi|Dappu1|307575|PASA_GEN_6600004,42.36,F13G3.5b CE41116 WBGene00008765 locus:ttx-7 status:Confirmed SW:Q19420 protein_id:CAN86622.2,36.9,AT3G02870.3 | Symbols: VTC4 | VTC4 | chr3:627749-629689 REVERSE,39.1,jgi|Chlre3|120462,37.24,DDB0235253 |Protein| gene: impa1 on chromosome: 3 position 4261304 to 4262400,30.21,YDR287W|inositol monophosphatase,27.95,3693.m00007 TTHERM_00370710 Acyl-CoA oxidase family protein,13.03,"b2533 enhances synthesis of sigma32 in mutant; extragenic suppressor, may modulate RNAse III lethal action (suhB) {Escherichia coli K12-MG1655}",29.76,syc1528_c myo-inositol-1(or 4)-monophosphatase (impA) {Synechococcus elongatus PCC 6301},28.82
O14733|MP2K7_HUMAN Dual specificity mitogen-activated protein kinase kinase 7 - Homo sapiens,Enzyme,Etoposide(DB00773),ENSMUSP00000106626|Dual specificity mitogen-activated protein kinase kinase 7 (EC 2.7.12.2) (MAP kinase kinase 7) (MAPKK 7) (MAPK/ERK kinase 7) (JNK-activating kinase 2) (c-Jun N-terminal kinase kinase 2) (JNK kinase 2) (JNKK 2). [Source:Uniprot/SWISSPROT;Acc:Q8CE90],98.81,ENSGALP00000001475|Dual specificity mitogen-activated protein kinase kinase 4 (EC 2.7.12.2) (MAP kinase kinase 4) (JNK-activating kinase 1) (c-Jun N-terminal kinase kinase 1) (JNKK) (SAPK/ERK kinase 1) (SEK1). [Source:Uniprot/SWISSPROT;Acc:P45985],38.97,ENSXETP00000049454|Hypothetical protein mgc108109. [Source:Uniprot/SPTREMBL;Acc:Q4QQQ5],85,gi|46329501|gb|AAH68887| 'Map2k7-A protein [Xenopus laevis]',84.76,ENSGACP00000025521|Dual specificity mitogen-activated protein kinase kinase 7 (EC 2.7.12.2) (MAP kinase kinase 7) (MAPKK 7) (MAPK/ERK kinase 7) (JNK-activating kinase 2) (c-Jun N-terminal kinase kinase 2) (JNK kinase 2) (JNKK 2). [Source:Uniprot/SWISSPROT;Acc:O14733],80.81,ENSDARP00000048190,77.63,"FBpp0073579 type=protein; loc=X:complement(12978588..12978603,12979629..12979784,12979858..12980078,12980445..12980624,12980686..12981173,12983392..12983809); ID=FBpp0073579; name=hep-PC; parent=FBgn0010303,FBtr0073748; dbxref=FlyBase:FBpp0073579,FlyBase_Annotation_IDs:CG4353-PC,GB_protein:AAF48222.1,GB_protein:AAF48222; MD5=99852f0de0eed72b1c0b9b5e40bbdb85; length=492; release=r5.6; species=Dmel;",46.77,jgi|Dappu1|32176|gw1.4.844.1,50.84,K08A8.1a CE30816 WBGene00003185 locus:mek-1 Map kinase kinase status:Confirmed TR:Q21307 protein_id:AAA79746.2,39.86,"AT4G26070.3 | Symbols: NMAPKK, ATMEK1, MKK1, MEK1 | MEK1 (mitogen-activated protein kinase kinase 1); MAP kinase kinase/ kinase | chr4:13217806-13219704 FORWARD",23.76,jgi|Chlre3|155835,22.27,DDB0191176 |Protein| gene: svkA on chromosome: 4 position 4476218 to 4478255,11.82,YJL128C|MAP kinase kinase (MAPKK),24.82,289.m00023 TTHERM_01246760 Protein kinase domain containing protein,7.79,"b0471 orf, hypothetical protein (ybaB) {Escherichia coli K12-MG1655}",6.68,syc0923_d similar to serine/threonine kinase {Synechococcus elongatus PCC 6301},12.11
O14756|H17B6_HUMAN Hydroxysteroid 17-beta dehydrogenase 6 precursor - Homo sapiens,Enzyme,Succinic acid(DB00139),ENSMUSP00000026462|Hydroxysteroid 17-beta dehydrogenase 6 precursor (EC 1.1.1.62) (EC 1.1.1.63) (EC 1.1.1.105) (17-beta-HSD6) (17-beta-HSD9) (Oxidative 3-alpha hydroxysteroid dehydrogenase) (3-alpha->beta-hydroxysteroid epimerase) (3-alpha->beta-HSE). [Source:Uniprot/SWISSPROT;Acc:Q9R092],73.19,ENSGALP00000017652|11-cis retinol dehydrogenase (EC 1.1.1.105) (11-cis RDH). [Source:Uniprot/SWISSPROT;Acc:Q92781],45.91,ENSXETP00000009609|3-hydroxysteroid epimerase [Source:RefSeq_peptide;Acc:NP_003716] [from human gene ENSG00000025423],58.68,gi|38014691|gb|AAH60497| 'MGC68820 protein [Xenopus laevis]',58.68,ENSGACP00000006978,51.26,ENSDARP00000013032|retinol dehydrogenase 5 [Source:RefSeq_peptide;Acc:NP_001025272],50.94,"FBpp0087129 type=protein; loc=2R:complement(7952386..7952562,7952634..7952735,7953195..7953451,7953513..7953666,7953999..7954205,7964558..7964803,7966800..7966823); ID=FBpp0087129; name=CG8888-PA; parent=FBgn0033679,FBtr0088022; dbxref=FlyBase:FBpp0087129,FlyBase_Annotation_IDs:CG8888-PA,GB_protein:AAF58586.1,GB_protein:AAF58586; MD5=7ed42006c55b2f09d0b6778dfbcf8574; length=388; release=r5.6; species=Dmel;",26.65,jgi|Dappu1|200252|estExt_Genewise1Plus.C_630102,32.18,F35B12.2 CE39496 WBGene00000983 locus:dhs-20 retinol dehydrogenase like status:Confirmed TR:Q20012 protein_id:CAA98465.3,38.01,AT5G10050.1 | Symbols:  | short-chain dehydrogenase/reductase (SDR) family protein | chr5:3144255-3145644 FORWARD,22.19,jgi|Chlre3|116006,22.36,DDB0188337 |Protein| gene: BC5V2_0_01014 on chromosome: 5 position 2556391 to 2557506,22.5,YMR226C|similar to insect-type alcohol dehydrogenase,20.49,"3825.m02908 TTHERM_00039050 oxidoreductase, short chain dehydrogenase/reductase family protein",20.18,b0493 putative oxidoreductase (ybbO) {Escherichia coli K12-MG1655},25.08,syc0053_d probable short-chain dehydrogenase (acdS) {Synechococcus elongatus PCC 6301},18.27
